date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
10-25,42.62,33.8,35.24,40.82,32.72,53.06,36.68,52.7,53.06,34.7,38.12,32.18,23.36,49.82,55.76,44.24,52.34,56.12,47.12,50.36,5.18,48.92,39.2,17.96,32.288,36.104,50.036,53.06,5.18,42.62,56.12
10-26,40.46,45.14,33.8,55.58,36.86,54.86,39.56,35.78,30.74,47.3,38.12,31.64,29.12,50.18,44.96,41.9,54.86,28.4,53.6,27.5,21.2,39.02,35.6,11.66,28.544,34.88,45.032,54.608,21.2,39.02,55.58
10-27,42.98,56.48,37.4,53.42,44.24,51.98,50.72,39.56,50.36,36.14,37.76,36.68,34.7,45.5,36.86,37.04,58.46,37.04,44.96,15.26,35.96,39.56,34.52,14.54,34.952,36.968,45.176,53.132,15.26,39.56,58.46
10-28,46.58,43.52,32.18,46.22,44.06,46.22,57.02,55.22,57.2,28.22,42.08,41.18,47.66,23.54,39.38,38.84,50.0,52.34,53.6,13.64,41.9,45.32,42.08,17.6,29.012,41.612,47.012,54.896,13.64,44.06,57.2
10-29,46.58,44.24,13.1,32.72,36.14,42.8,49.28,56.48,55.4,27.86,50.18,42.98,52.52,22.82,48.92,40.82,38.48,36.32,38.3,6.44,48.02,54.32,41.9,22.46,23.828,37.508,48.38,53.96,6.44,42.8,56.48
10-30,37.4,55.22,4.28,17.06,38.66,35.42,15.08,39.56,52.88,46.76,42.44,46.94,50.9,35.96,43.88,45.14,50.36,26.06,34.34,17.6,49.82,33.08,42.62,28.04,17.168,34.988,45.788,50.792,4.28,39.56,55.22
10-31,34.52,48.38,9.5,9.5,31.64,42.98,16.34,37.94,55.04,53.96,42.08,46.76,55.94,41.18,51.26,52.16,46.76,38.12,37.58,30.92,39.2,26.24,50.36,35.24,18.32,36.356,47.408,53.6,9.5,41.18,55.94
11-01,33.8,41.36,21.38,21.2,29.48,54.5,21.74,41.72,53.6,40.82,45.5,29.3,51.44,39.74,53.24,51.08,42.8,31.46,40.46,28.04,47.84,26.42,51.98,41.36,22.676,30.668,46.436,52.988,21.2,40.82,54.5
11-02,31.1,45.32,27.32,22.46,44.24,39.92,34.34,36.86,53.42,39.2,51.26,28.94,41.0,46.04,42.08,37.94,43.88,24.8,47.48,38.3,54.5,37.4,41.36,46.22,27.644,37.184,44.024,50.504,22.46,39.92,54.5
11-03,33.62,46.04,35.06,19.58,40.1,35.78,45.86,50.0,44.78,39.38,41.54,37.76,44.78,33.08,35.24,32.54,51.98,26.24,39.56,39.02,57.2,42.98,27.14,45.68,28.22,35.168,43.7,49.208,19.58,39.38,57.2
